City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,miercurea nirajului,46.5333,24.8,17.63,92,100,3.31,RO,1691352260
135,visby,57.6409,18.296,22.12,88,0,5.66,SE,1691352261
136,hawaiian paradise park,19.5933,-154.9731,25.57,98,100,3.6,US,1691352261
137,carutapera,-1.195,-46.02,28.08,74,31,4.65,BR,1691352262
138,ribeira grande,38.5167,-28.7,24.32,73,20,2.68,PT,1691352262
139,simpang empat,4.95,100.6333,26.66,84,100,1.25,MY,1691352263
140,alofi,-19.0595,-169.9187,22.94,94,75,2.57,NU,1691352263
141,tahe,52.3333,124.7333,13.11,66,100,1.14,CN,1691352263
142,faya-largeau,17.9257,19.1043,34.34,43,100,3.9,TD,1691352264
143,al quwayrah,29.8004,35.3116,32.0,26,0,1.51,JO,1691352264
144,ballina,-28.8667,153.5667,13.21,91,99,3.25,AU,1691352265
145,tura,25.5198,90.2201,24.1,99,100,2.05,IN,1691352265
146,lushun,38.8,121.2667,22.12,79,7,9.08,CN,1691352266
147,pisco,-13.7,-76.2167,21.03,68,0,4.12,PE,1691352266
148,clovis,36.8252,-119.7029,36.93,37,0,0.45,US,1691352171
149,wagar,16.1525,36.2032,31.41,49,70,3.46,SD,1691352267
150,whitehorse,60.7161,-135.0538,23.9,42,20,5.14,CA,1691352231
151,arraial do cabo,-22.9661,-42.0278,24.98,73,0,10.29,BR,1691352268
152,impfondo,1.6381,18.0667,22.62,96,100,2.23,CG,1691352268
153,ambovombe,-25.1667,46.0833,18.24,82,0,5.26,MG,1691352269
154,vershino-darasunskiy,52.35,115.5167,12.15,73,100,0.37,RU,1691352270
155,avarua,-21.2078,-159.775,21.03,94,100,7.72,CK,1691352261
156,soio,-6.1349,12.3689,22.1,91,1,3.82,AO,1691352271
157,yellowknife,62.456,-114.3525,20.29,42,40,2.06,CA,1691352272
158,champua,22.0833,85.6667,24.47,91,100,5.03,IN,1691352272
159,horta,38.5333,-28.6333,23.9,77,20,2.68,PT,1691352273
160,plabennec,48.5024,-4.4266,15.57,88,75,4.12,FR,1691352273
161,vega de alatorre,20.0333,-96.6333,30.95,68,72,6.21,MX,1691352274
162,georgetown,5.4112,100.3354,27.96,93,20,1.54,MY,1691352019
163,la'ie,21.6477,-157.9253,29.98,70,10,6.87,US,1691352274
164,tofol,5.3248,163.0078,28.58,69,98,6.34,FM,1691352275
165,aasiaat,68.7098,-52.8699,4.12,72,11,3.72,GL,1691352275
166,iskateley,67.6803,53.1512,15.38,91,33,2.69,RU,1691352276
167,trinidad,-14.8333,-64.9,34.99,41,20,4.12,BO,1691352276
